ID,AbstractClassWithoutAbstractMethod,AccessorClassGeneration,AccessorMethodGeneration,ArrayIsStoredDirectly,AvoidMessageDigestField,AvoidPrintStackTrace,AvoidReassigningCatchVariables,AvoidReassigningLoopVariables,AvoidReassigningParameters,AvoidStringBufferField,AvoidUsingHardCodedIP,CheckResultSet,ConstantsInInterface,DefaultLabelNotLastInSwitch,DoubleBraceInitialization,ForLoopCanBeForeach,GuardLogStatement,LooseCoupling,MethodReturnsInternalArray,MissingOverride,NonExhaustiveSwitch,OneDeclarationPerLine,PreserveStackTrace,ReplaceEnumerationWithIterator,ReplaceHashtableWithMap,ReplaceVectorWithList,SystemPrintln,UnitTestShouldUseAfterAnnotation,UnitTestShouldUseBeforeAnnotation,UnitTestShouldUseTestAnnotation,UnusedAssignment,UnusedFormalParameter,UnusedLocalVariable,UnusedPrivateField,UnusedPrivateMethod,UseCollectionIsEmpty,UseStandardCharsets,UseTryWithResources,UseVarargs,WhileLoopWithLiteralBoolean,AtLeastOneConstructor,AvoidProtectedMethodInFinalClassNotExtending,CallSuperInConstructor,CommentDefaultAccessModifier,EmptyMethodInAbstractClassShouldBeAbstract,ExtendsObject,FieldDeclarationsShouldBeAtStartOfClass,IdenticalCatchBranches,NoPackage,OnlyOneReturn,PackageCase,ShortClassName,ShortMethodName,TypeParameterNamingConventions,UnnecessaryAnnotationValueElement,UnnecessaryCast,UnnecessaryConstructor,UnnecessaryFullyQualifiedName,UnnecessaryImport,UnnecessaryModifier,UnnecessaryReturn,UnnecessarySemicolon,UseShortArrayInitializer,UseUnderscoresInNumericLiterals,VariableCanBeInlined,AbstractClassWithoutAnyMethod,AvoidRethrowingException,AvoidThrowingNewInstanceOfSameException,AvoidThrowingNullPointerException,AvoidThrowingRawExceptionTypes,ClassWithOnlyPrivateConstructorsShouldBeFinal,CollapsibleIfStatements,CouplingBetweenObjects,DataClass,DoNotExtendJavaLangError,ExcessiveImports,ExcessiveParameterList,FinalFieldCouldBeStatic,LogicInversion,SignatureDeclareThrowsException,SimplifiedTernary,SimplifyBooleanExpressions,SimplifyBooleanReturns,SimplifyConditional,SingularField,UseObjectForClearerAPI,UseUtilityClass,UselessOverridingMethod,DanglingJavadoc,UncommentedEmptyMethodBody,AssignmentInOperand,AssignmentToNonFinalStatic,AvoidAccessibilityAlteration,AvoidAssertAsIdentifier,AvoidCallingFinalize,AvoidCatchingThrowable,AvoidDecimalLiteralsInBigDecimalConstructor,AvoidEnumAsIdentifier,AvoidFieldNameMatchingMethodName,AvoidFieldNameMatchingTypeName,AvoidInstanceofChecksInCatchClause,AvoidMultipleUnaryOperators,AvoidUsingOctalValues,AvoidCatchingNPE,BrokenNullCheck,CallSuperFirst,CallSuperLast,CheckSkipResult,ClassCastExceptionWithToArray,CloneMethodMustBePublic,CloneMethodMustImplementCloneable,CloneMethodReturnTypeMustMatchClassName,CloseResource,CompareObjectsWithEquals,ConstructorCallsOverridableMethod,DetachedTestCase,DoNotCallGarbageCollectionExplicitly,DoNotHardCodeSDCard,DoNotThrowExceptionInFinally,DontImportSun,DontUseFloatTypeForLoopIndices,EmptyFinalizer,FinalizeDoesNotCallSuperFinalize,FinalizeOnlyCallsSuperFinalize,FinalizeOverloaded,FinalizeShouldBeProtected,IdempotentOperations,ImplicitSwitchFallThrough,InstantiationToGetClass,InvalidLogMessageFormat,JumbledIncrementer,JUnitSpelling,JUnitStaticSuite,MethodWithSameNameAsEnclosingClass,MisplacedNullCheck,MissingSerialVersionUID,MoreThanOneLogger,NonCaseLabelInSwitch,NonStaticInitializer,OverrideBothEqualsAndHashCodeOnComparable,OverrideBothEqualsAndHashcode,ProperCloneImplementation,ProperLogger,ReturnFromFinallyBlock,SimpleDateFormatNeedsLocale,SingleMethodSingleton,SingletonClassReturningNewInstance,StaticEJBFieldShouldBeFinal,StringBufferInstantiationWithChar,SuspiciousEqualsMethodName,SuspiciousHashcodeMethodName,SuspiciousOctalEscape,UnconditionalIfStatement,UnnecessaryBooleanAssertion,UnnecessaryCaseChange,UnnecessaryConversionTemporary,UnusedNullCheckInEquals,UseCorrectExceptionLogging,UseEqualsToCompareStrings,UselessOperationOnImmutable,UselessPureMethodCall,AvoidSynchronizedAtMethodLevel,AvoidSynchronizedStatement,AvoidThreadGroup,AvoidUsingVolatile,DoNotUseThreads,DontCallThreadRun,DoubleCheckedLocking,NonThreadSafeSingleton,UnsynchronizedStaticFormatter,UseConcurrentHashMap,UseNotifyAllInsteadOfNotify,AddEmptyString,AvoidArrayLoops,AvoidCalendarDateCreation,AvoidFileStream,BigIntegerInstantiation,ConsecutiveAppendsShouldReuse,InefficientStringBuffering,OptimizableToArrayCall,RedundantFieldInitializer,StringInstantiation,StringToString,TooFewBranchesForSwitch,UseArrayListInsteadOfVector,UseArraysAsList,UseIndexOfChar,UseIOStreamsWithApacheCommonsFileItem,UseStringBufferLength,UselessStringValueOf,MethodArgumentCouldBeFinal,CommentRequired,LocalVariableCouldBeFinal,LawOfDemeter,ControlStatementBraces,ShortVariable,LocalVariableNamingConventions,FieldNamingConventions,NullAssignment,UseDiamondOperator,CyclomaticComplexity,AvoidDuplicateLiterals,AvoidInstantiatingObjectsInLoops,CognitiveComplexity,TooManyMethods,AvoidCatchingGenericException,NPathComplexity,AvoidLiteralsInIfCondition,GodClass,InsufficientStringBufferDeclaration,ClassNamingConventions,MethodNamingConventions,FormalParameterNamingConventions,FinalParameterInAbstractMethod,AvoidProtectedFieldInFinalClass,AvoidDollarSigns,BooleanGetMethodName,ConfusingTernary,EmptyControlStatement,ModifierOrder,PrematureDeclaration,LongVariable,ExcessivePublicCount,ImmutableField,LoosePackageCoupling,MutableStaticState,TooManyFields,SwitchDensity,AvoidDeeplyNestedIfStmts,ExceptionAsFlowControl,CommentContent,UncommentedEmptyConstructor,CommentSize,EqualsNull,EmptyCatchBlock,AvoidCatchingNPE,AvoidBranchingStatementAsLastInLoop,UseStringBufferForStringAppends,ConsecutiveLiteralAppends,InefficientEmptyStringCheck,HardCodedCryptoKey,InsecureCryptoIv
8834964.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,58,,,,,1,,,,10,,,,,,,,,,,,4,3,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,1,,,,,,,,,,45,62,33,35,35,2,24,9,18,4,10,1,2,6,1,,6,,1,1,1,,,,,,,,,,,29,1,,,,,,,,,1,12,,,,,,1,,,
8836840.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,11,3,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,2,,4,,,,,,,
8837684.java,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,301,,17,1,,,,,,,1,,,,,,200,,,1719,,,,,1,,1,,6,100,,,,,,,,,,,400,,1,,,,,,,,,,100,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,300,,,,,,,45,,,37,,,32,,,,,,,4396,4964,2059,1540,1168,350,834,582,516,578,158,96,114,128,104,100,64,,102,85,750,150,,,,,27,,,,,519,12,116,,,,,,,,101,526,,,,,,100,,,
8841762.java,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,301,,17,1,,,,,,,1,,,,,,200,,,1719,,,,,1,,1,,6,100,,,,,,,,,,,400,,1,,,,,,,,,,100,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,300,,,,,,,45,,,37,,,32,,,,,,,4396,4964,2059,1540,1168,350,834,582,516,578,158,96,114,128,104,100,64,,102,85,750,150,,,,,27,,,,,519,12,116,,,,,,,,101,526,,,,,,100,,,
8844288.java,,,,,,,,,1,,,,,,,,3,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,14,,4,1,,1,,,,,,,,6,,,,,,,,,,,,,,1,,3,,1,,,,,,3,,,3,,,,,,,,,
8845205.java,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,1038,,10,1,,,,,,,1,,,,,,692,,,10135,,,,,1,,1,,6,346,8,,,,,,,,,,1384,,1,,,,1,,,,,,346,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,,,,,,,,,,,1051,,,,,,,84,,,78,,,20,,,,,,,17309,20001,8837,11755,6434,1867,4574,1892,3795,1908,1737,300,1061,1000,350,346,885,,348,336,2595,519,,,,,61,,,,,3342,184,489,,,,,,,,347,2115,,,,,,346,,,
8845236.java,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,1038,,10,1,,,,,,,1,,,,,,692,,,10135,,,,,1,,1,,6,346,8,,,,,,,,,,1384,,1,,,,1,,,,,,346,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,,,,,,,,,,,1051,,,,,,,84,,,78,,,20,,,,,,,17309,20001,8837,11755,6434,1867,4574,1892,3795,1908,1737,300,1061,1000,350,346,885,,348,336,2595,519,,,,,61,,,,,3342,184,489,,,,,,,,347,2115,,,,,,346,,,
8845555.java,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,1038,,10,1,,,,,,,1,,,,,,692,,,10135,,,,,1,,1,,6,346,8,,,,,,,,,,1384,,1,,,,1,,,,,,346,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,,,,,,,,,,,1051,,,,,,,84,,,78,,,20,,,,,,,17309,20001,8837,11755,6434,1867,4574,1892,3795,1908,1737,300,1061,1000,350,346,885,,348,336,2595,519,,,,,61,,,,,3342,184,489,,,,,,,,347,2115,,,,,,346,,,
8845696.java,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,1038,,10,1,,,,,,,1,,,,,,692,,,10135,,,,,1,,1,,6,346,8,,,,,,,,,,1384,,1,,,,1,,,,,,346,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,,,,,,,,,,,1051,,,,,,,84,,,78,,,20,,,,,,,17309,20001,8837,11755,6434,1867,4574,1892,3795,1908,1737,300,1061,1000,350,346,885,,348,336,2595,519,,,,,61,,,,,3342,184,489,,,,,,,,347,2115,,,,,,346,,,
8845708.java,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,301,,17,1,,,,,,,1,,,,,,200,,,1719,,,,,1,,1,,6,100,,,,,,,,,,,400,,1,,,,,,,,,,100,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,300,,,,,,,45,,,37,,,32,,,,,,,4396,4964,2059,1540,1168,350,834,582,516,578,158,96,114,128,104,100,64,,102,85,750,150,,,,,27,,,,,519,12,116,,,,,,,,101,526,,,,,,100,,,
8850427.java,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,1038,,10,1,,,,,,,1,,,,,,692,,,10135,,,,,1,,1,,6,346,8,,,,,,,,,,1384,,1,,,,1,,,,,,346,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,,,,,,,,,,,1051,,,,,,,84,,,78,,,20,,,,,,,17309,20001,8837,11755,6434,1867,4574,1892,3795,1908,1737,300,1061,1000,350,346,885,,348,336,2595,519,,,,,61,,,,,3342,184,489,,,,,,,,347,2115,,,,,,346,,,
8850497.java,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,85,,44,1,,,,,,,1,,,,,,52,,,231,,,,,,,1,,7,26,,,,,,,,,,,104,,1,,,,,,,,,,28,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,50,,,,,,,976,1096,418,301,180,91,88,130,75,132,1,23,22,1,28,26,1,,25,3,195,39,,,,,,,6,,,64,,14,,,,,,,,29,104,,,,,,26,,,
8855150.java,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,1038,,10,1,,,,,,,1,,,,,,692,,,10135,,,,,1,,1,,6,346,8,,,,,,,,,,1384,,1,,,,1,,,,,,346,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,,,,,,,,,,,1051,,,,,,,84,,,78,,,20,,,,,,,17309,20001,8837,11755,6434,1867,4574,1892,3795,1908,1737,300,1061,1000,350,346,885,,348,336,2595,519,,,,,61,,,,,3342,184,489,,,,,,,,347,2115,,,,,,346,,,
8856936.java,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,1038,,10,1,,,,,,,1,,,,,,692,,,10135,,,,,1,,1,,6,346,8,,,,,,,,,,1384,,1,,,,1,,,,,,346,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,,,,,,,,,,,1051,,,,,,,84,,,78,,,20,,,,,,,17309,20001,8837,11755,6434,1867,4574,1892,3795,1908,1737,300,1061,1000,350,346,885,,348,336,2595,519,,,,,61,,,,,3342,184,489,,,,,,,,347,2115,,,,,,346,,,
8857529.java,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,1038,,10,1,,,,,,,1,,,,,,692,,,10135,,,,,1,,1,,6,346,8,,,,,,,,,,1384,,1,,,,1,,,,,,346,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,,,,,,,,,,,1051,,,,,,,84,,,78,,,20,,,,,,,17309,20001,8837,11755,6434,1867,4574,1892,3795,1908,1737,300,1061,1000,350,346,885,,348,336,2595,519,,,,,61,,,,,3342,184,489,,,,,,,,347,2115,,,,,,346,,,
8857568.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,23,,,,,1,,,,10,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,1,,,,,,,,,,34,41,18,9,15,2,9,8,6,4,3,,,2,1,,1,,1,1,1,,,,,,,,,,,7,,,,,,,,,,1,9,,,,,,1,,,
8861277.java,,,,,,,,,,,,,,,,,6,3,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,23,36,,,8,,1,,1,6,1,,2,,3,,,1,,,,,,,,1,,,1,,31,1,,,,1,,,1,,,1,,,,,,,,,
8863381.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,2,,,9,,,,,1,,,,12,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,29,30,10,11,7,2,3,5,3,4,,,1,,1,,,,1,,1,,,,,,,,,,,2,,,,,,,,,,1,3,,,,,,1,,,
8863382.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,2,,,9,,,,,1,,,,12,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,29,30,10,11,7,2,3,5,3,4,,,1,,1,,,,1,,1,,,,,,,,,,,2,,,,,,,,,,1,3,,,,,,1,,,
8866735.java,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,1,,,,4,,,,,1,,,1,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,31,,,,,,,8,,,3,,,,,,,,,,,,,,,,,,,5,,,,,,,1,,,,31,,,,,,,,,
8869079.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,58,,,,,1,,,,10,,,,,,,,,,,,4,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,1,,,,,,,,,,47,64,38,41,35,2,31,8,21,8,11,1,3,8,1,,7,,1,1,1,,,,,,,,,,,26,1,,,,,,,,,1,11,,,,,,,,,
8871773.java,,,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,1322,,265,,,,,,,,1,,,,,,892,,,7700,,2,,,1,,1,,6,446,58,,,,,,,,,,1784,,1,,,,1,,,,,,462,,,20,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,,,,,,,,,,,1344,,,,,,,55,,,54,,,370,,,,,,,18908,20864,9441,9265,5226,3283,3640,2727,2739,2516,819,306,784,560,450,446,421,,432,268,3345,2135,1552,,,,23,,48,,,1717,18,391,,,,1,,,,453,1463,,,,,,446,,,
8873169.java,,,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,1322,,265,,,,,,,,1,,,,,,892,,,7700,,2,,,1,,1,,6,446,58,,,,,,,,,,1784,,1,,,,1,,,,,,462,,,20,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,,,,,,,,,,,1344,,,,,,,55,,,54,,,370,,,,,,,18908,20864,9441,9265,5226,3283,3640,2727,2739,2516,819,306,784,560,450,446,421,,432,268,3345,2135,1552,,,,23,,48,,,1717,18,391,,,,1,,,,453,1463,,,,,,446,,,
8876926.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,3,,,,,,,,,
8877416.java,,,,,,,,,3,,,,,,,,1,3,,,,,,,,,1,,,,6,,,,,1,,,,,1,,,,,,2,,,12,,,,,,,,,,,,,,,,,,,,2,,1,1,,,1,,,,18,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,92,17,108,6,,11,4,1,5,7,9,,8,6,1,2,4,,1,,,,,,,,,7,,,,9,,,,,,,,,,,4,,1,,,,,,,
8879106.java,,,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,1322,,265,,,,,,,,1,,,,,,892,,,7700,,2,,,1,,1,,6,446,58,,,,,,,,,,1784,,1,,,,1,,,,,,462,,,20,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,,,,,,,,,,,1344,,,,,,,55,,,54,,,370,,,,,,,18908,20864,9441,9265,5226,3283,3640,2727,2739,2516,819,306,784,560,450,446,421,,432,268,3345,2135,1552,,,,23,,48,,,1717,18,391,,,,1,,,,453,1463,,,,,,446,,,
8886007.java,,,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,1322,,265,,,,,,,,1,,,,,,892,,,7700,,2,,,1,,1,,6,446,58,,,,,,,,,,1784,,1,,,,1,,,,,,462,,,20,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,,,,,,,,,,,1344,,,,,,,55,,,54,,,370,,,,,,,18908,20864,9441,9265,5226,3283,3640,2727,2739,2516,819,306,784,560,450,446,421,,432,268,3345,2135,1552,,,,23,,48,,,1717,18,391,,,,1,,,,453,1463,,,,,,446,,,
8887186.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,
8890241.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,16,,,,,1,,,,11,,,,,,,,,,,,4,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,31,35,15,17,11,2,6,6,6,4,1,,1,1,1,,1,,1,1,1,,,,,,,,,,,4,,,,,,,,,,1,4,,,,,,1,,,
8894429.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,8,,,5,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,91,3,5,,1,,,,,2,,,,1,,,,,,,,,,,,,,,1,,15,,,,,,,,,,,16,,,,,,,,,
8894479.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,65,,,,,1,,,,10,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,4,,,1,,,,,,,,,,53,67,36,21,39,2,27,18,15,4,12,1,,6,1,,6,,1,1,1,40,16,,,,,,,,,35,1,,,,,,,,,1,12,,,,,,1,,,
8894493.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,65,,,,,1,,,,10,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,4,,,1,,,,,,,,,,53,67,36,21,39,2,27,18,15,4,12,1,,6,1,,6,,1,1,1,40,16,,,,,,,,,35,1,,,,,,,,,1,12,,,,,,1,,,
8894917.java,,,,,,,,,,,,,,21,,6,,,,426,,,52,,,,,,,,,26,19,,,,,,,,,,80,,,,499,,,354,,2,,,,,,2340,,164,,,,,26,,,,78,,,,1,,,,,,8,,,,3,,,,,,,6,,,,,,,,,,,,,,,,,,,,,26,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,5,,,,,,,1012,1422,389,167,78,100,63,310,22,6,43,5,4,13,50,,20,231,35,,,,,,,,5,20,15,2,,260,5,,,26,3,,,,,2,64,,,,,,,,,
8895014.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,16,,,,,1,,,,10,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,34,40,23,31,11,2,20,5,6,12,2,,2,2,1,,1,,1,1,1,,,,,,,,,,,5,,,,,,1,,,,1,4,,,,,,1,,,
8895511.java,,,,,,,,,17,,1,,,,,,45,4,,,,13,38,,,,3,,,,3,,2,,2,32,,,1,,,,1,15,,,22,3,,59,,,,,,,,6,3,,2,1,,1,1,,,1,,15,,11,1,,,1,,,,12,,5,2,1,2,6,,,,2,1,1,,,,3,,,1,,1,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,44,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,9,,,,,6,,2,,,,,,,,5,1,,1,,,,,,,498,72,707,14,15,247,18,10,4,7,52,12,31,29,2,115,13,5,2,,,38,102,,,,1,23,4,4,19,112,1,3,,3,,,,34,,,130,,3,,,4,,2,,
8896304.java,,,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,1322,,265,,,,,,,,1,,,,,,892,,,7700,,2,,,1,,1,,6,446,58,,,,,,,,,,1784,,1,,,,1,,,,,,462,,,20,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,,,,,,,,,,,1344,,,,,,,55,,,54,,,370,,,,,,,18908,20864,9441,9265,5226,3283,3640,2727,2739,2516,819,306,784,560,450,446,421,,432,268,3345,2135,1552,,,,23,,48,,,1717,18,391,,,,1,,,,453,1463,,,,,,446,,,
8898055.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,2,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3,16,8,,2,,,,,,,,,1,,,,,,,,,,,,,2,,1,1,7,,,,,,,,,,,2,,,,,,,,,
